编号,V0,,,标准 608s,,,,,,,,,V1,,,标准,,,,,,,,,F0,,,标准,,,,,,,,,F1,,,标准,,,,,,,,,,V0,,,标准,,,,,,,,,V1,,,标准,,,,,,,,,F0,,,标准,,,,,,,,,F1,,,标准,,,,,,,,
雨量,8.89,9.13,9.38,12.1,12.35,12.2,,,,,,,7.83,8.52,8.65,12.05,12.45,12.25,,,,,,,5.7,7,6.5,12.1,12.3,12.3,,,,,,,4.7,4.3,4.4,11.6,12.15,11.9,,,,,,,,45.35,42.34,44.63,47.15,49.05,47.4,,,,,,,39.24,40.42,38.25,46.9,49.35,46.8,,,,,,,31.4,30.3,31.1,47.2,48.5,47.95,,,,,,,55.3,48.4,46,48.95,51.75,50.3,,,,,,
时间 s,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限,第1次,第2次,第3次,第1次,第2次,第3次,第1次,第2次,第3次,3次均值,允差下限,允差上限
5,0.03,0.05,0.07,0.099506579,0.1015625,0.100328947,-0.069506579,-0.0515625,-0.030328947,-0.050466009,-0.5,0.5,0.07,0.04,0.03,0.099095395,0.102384868,0.100740132,-0.029095395,-0.062384868,-0.070740132,-0.054073465,-0.5,0.5,0,0,0,0.099506579,0.101151316,0.101151316,-0.099506579,-0.101151316,-0.101151316,-0.10060307,-0.5,0.5,0,0,0,0.095394737,0.099917763,0.097861842,-0.095394737,-0.099917763,-0.097861842,-0.097724781,-0.5,0.5,,0.17,0.20,0.08,0.29505632,0.306946183,0.296620776,-0.12505632,-0.106946183,-0.216620776,-0.149541093,-3.2,3.2,0.07,0.14,0.06,0.293491865,0.308823529,0.292866083,-0.223491865,-0.168823529,-0.232866083,-0.208393826,-3.2,3.2,0.1,0.1,0,0.295369212,0.30350438,0.300062578,-0.195369212,-0.20350438,-0.300062578,-0.232978723,-3.2,3.2,0,0,0.1,0.306320401,0.323842303,0.314768461,-0.306320401,-0.323842303,-0.214768461,-0.281643721,-3.2,3.2
6,0.06,0.06,0.12,0.119407895,0.121875,0.120394737,-0.059407895,-0.061875,-0.000394737,-0.040559211,-0.5,0.5,0.08,0.06,0.04,0.118914474,0.122861842,0.120888158,-0.038914474,-0.062861842,-0.080888158,-0.060888158,-0.5,0.5,0,0,0,0.119407895,0.121381579,0.121381579,-0.119407895,-0.121381579,-0.121381579,-0.120723684,-0.5,0.5,0,0,0,0.114473684,0.119901316,0.117434211,-0.114473684,-0.119901316,-0.117434211,-0.117269737,-0.5,0.5,,0.18,0.28,0.11,0.354067584,0.368335419,0.355944931,-0.174067584,-0.088335419,-0.245944931,-0.169449312,-3.2,3.2,0.14,0.16,0.09,0.352190238,0.370588235,0.351439299,-0.212190238,-0.210588235,-0.261439299,-0.228072591,-3.2,3.2,0.1,0.1,0.1,0.354443054,0.364205257,0.360075094,-0.254443054,-0.264205257,-0.260075094,-0.259574468,-3.2,3.2,0.1,0,0.1,0.367584481,0.388610763,0.377722153,-0.267584481,-0.388610763,-0.277722153,-0.311305799,-3.2,3.2
7,0.07,0.06,0.12,0.139309211,0.1421875,0.140460526,-0.069309211,-0.0821875,-0.020460526,-0.057319079,-0.5,0.5,0.10,0.06,0.05,0.138733553,0.143338816,0.141036184,-0.038733553,-0.083338816,-0.091036184,-0.071036184,-0.5,0.5,0,0,0,0.139309211,0.141611842,0.141611842,-0.139309211,-0.141611842,-0.141611842,-0.140844298,-0.5,0.5,0,0,0,0.133552632,0.139884868,0.137006579,-0.133552632,-0.139884868,-0.137006579,-0.136814693,-0.5,0.5,,0.22,0.34,0.19,0.413078849,0.429724656,0.415269086,-0.193078849,-0.089724656,-0.225269086,-0.16935753,-3.2,3.2,0.16,0.23,0.11,0.410888611,0.432352941,0.410012516,-0.250888611,-0.202352941,-0.300012516,-0.251084689,-3.2,3.2,0.1,0.1,0.1,0.413516896,0.424906133,0.42008761,-0.313516896,-0.324906133,-0.32008761,-0.319503546,-3.2,3.2,0.1,0.1,0.1,0.428848561,0.453379224,0.440675845,-0.328848561,-0.353379224,-0.340675845,-0.340967877,-3.2,3.2
8,0.09,0.07,0.13,0.159210526,0.1625,0.160526316,-0.069210526,-0.0925,-0.030526316,-0.064078947,-0.5,0.5,0.10,0.07,0.05,0.158552632,0.163815789,0.161184211,-0.058552632,-0.093815789,-0.111184211,-0.087850877,-0.5,0.5,0,0,0,0.159210526,0.161842105,0.161842105,-0.159210526,-0.161842105,-0.161842105,-0.160964912,-0.5,0.5,0,0,0,0.152631579,0.159868421,0.156578947,-0.152631579,-0.159868421,-0.156578947,-0.156359649,-0.5,0.5,,0.31,0.46,0.24,0.472090113,0.491113892,0.474593242,-0.162090113,-0.031113892,-0.234593242,-0.142599082,-3.2,3.2,0.19,0.27,0.16,0.469586984,0.494117647,0.468585732,-0.279586984,-0.224117647,-0.308585732,-0.270763454,-3.2,3.2,0.1,0.1,0.1,0.472590738,0.485607009,0.480100125,-0.372590738,-0.385607009,-0.380100125,-0.379432624,-3.2,3.2,0.1,0.1,0.1,0.490112641,0.518147685,0.503629537,-0.390112641,-0.418147685,-0.403629537,-0.403963287,-3.2,3.2
9,0.12,0.08,0.15,0.179111842,0.1828125,0.180592105,-0.059111842,-0.1028125,-0.030592105,-0.064172149,-0.5,0.5,0.12,0.07,0.07,0.178371711,0.184292763,0.181332237,-0.058371711,-0.114292763,-0.111332237,-0.09466557,-0.5,0.5,0,0,0,0.179111842,0.182072368,0.182072368,-0.179111842,-0.182072368,-0.182072368,-0.181085526,-0.5,0.5,0,0,0,0.171710526,0.179851974,0.176151316,-0.171710526,-0.179851974,-0.176151316,-0.175904605,-0.5,0.5,,0.32,0.54,0.33,0.531101377,0.552503129,0.533917397,-0.211101377,-0.012503129,-0.203917397,-0.142507301,-3.2,3.2,0.25,0.32,0.17,0.528285357,0.555882353,0.527158949,-0.278285357,-0.235882353,-0.357158949,-0.290442219,-3.2,3.2,0.2,0.1,0.1,0.531664581,0.546307885,0.540112641,-0.331664581,-0.446307885,-0.440112641,-0.406028369,-3.2,3.2,0.1,0.1,0.1,0.551376721,0.582916145,0.566583229,-0.451376721,-0.482916145,-0.466583229,-0.466958698,-3.2,3.2
10,0.12,0.08,0.16,0.199013158,0.203125,0.200657895,-0.079013158,-0.123125,-0.040657895,-0.080932018,-0.5,0.5,0.14,0.08,0.08,0.198190789,0.204769737,0.201480263,-0.058190789,-0.124769737,-0.121480263,-0.101480263,-0.5,0.5,0,0,0,0.199013158,0.202302632,0.202302632,-0.199013158,-0.202302632,-0.202302632,-0.20120614,-0.5,0.5,0,0,0,0.190789474,0.199835526,0.195723684,-0.190789474,-0.199835526,-0.195723684,-0.195449561,-0.5,0.5,,0.37,0.56,0.38,0.590112641,0.613892365,0.593241552,-0.220112641,-0.053892365,-0.213241552,-0.162415519,-3.2,3.2,0.29,0.48,0.18,0.58698373,0.617647059,0.585732165,-0.29698373,-0.137647059,-0.405732165,-0.280120985,-3.2,3.2,0.2,0.1,0.1,0.590738423,0.607008761,0.600125156,-0.390738423,-0.507008761,-0.500125156,-0.465957447,-3.2,3.2,0.1,0.1,0.1,0.612640801,0.647684606,0.629536921,-0.512640801,-0.547684606,-0.529536921,-0.529954109,-3.2,3.2
11,0.14,0.09,0.16,0.218914474,0.2234375,0.220723684,-0.078914474,-0.1334375,-0.060723684,-0.091025219,-0.5,0.5,0.14,0.08,0.08,0.218009868,0.225246711,0.221628289,-0.078009868,-0.145246711,-0.141628289,-0.121628289,-0.5,0.5,0,0,0,0.218914474,0.222532895,0.222532895,-0.218914474,-0.222532895,-0.222532895,-0.221326754,-0.5,0.5,0,0,0,0.209868421,0.219819079,0.215296053,-0.209868421,-0.219819079,-0.215296053,-0.214994518,-0.5,0.5,,0.42,0.59,0.44,0.649123905,0.675281602,0.652565707,-0.229123905,-0.085281602,-0.212565707,-0.175657071,-3.2,3.2,0.36,0.53,0.21,0.645682103,0.679411765,0.644305382,-0.285682103,-0.149411765,-0.434305382,-0.28979975,-3.2,3.2,0.2,0.1,0.1,0.649812265,0.667709637,0.660137672,-0.449812265,-0.567709637,-0.560137672,-0.525886525,-3.2,3.2,0.1,0.2,0.1,0.673904881,0.712453066,0.692490613,-0.573904881,-0.512453066,-0.592490613,-0.559616187,-3.2,3.2
12,0.16,0.09,0.17,0.238815789,0.24375,0.240789474,-0.078815789,-0.15375,-0.070789474,-0.101118421,-0.5,0.5,0.16,0.09,0.09,0.237828947,0.245723684,0.241776316,-0.077828947,-0.155723684,-0.151776316,-0.128442982,-0.5,0.5,0,0,0,0.238815789,0.242763158,0.242763158,-0.238815789,-0.242763158,-0.242763158,-0.241447368,-0.5,0.5,0,0,0,0.228947368,0.239802632,0.234868421,-0.228947368,-0.239802632,-0.234868421,-0.234539474,-0.5,0.5,,0.44,0.63,0.50,0.708135169,0.736670839,0.711889862,-0.268135169,-0.106670839,-0.211889862,-0.19556529,-3.2,3.2,0.38,0.65,0.24,0.704380476,0.741176471,0.702878598,-0.324380476,-0.091176471,-0.462878598,-0.292811848,-3.2,3.2,0.2,0.1,0.3,0.708886108,0.728410513,0.720150188,-0.508886108,-0.628410513,-0.420150188,-0.519148936,-3.2,3.2,0.2,0.2,0.2,0.735168961,0.777221527,0.755444305,-0.535168961,-0.577221527,-0.555444305,-0.555944931,-3.2,3.2
13,0.17,0.10,0.18,0.258717105,0.2640625,0.260855263,-0.088717105,-0.1640625,-0.080855263,-0.111211623,-0.5,0.5,0.18,0.10,0.11,0.257648026,0.266200658,0.261924342,-0.077648026,-0.166200658,-0.151924342,-0.131924342,-0.5,0.5,0,0.1,0,0.258717105,0.262993421,0.262993421,-0.258717105,-0.162993421,-0.262993421,-0.228234649,-0.5,0.5,0,0,0,0.248026316,0.259786184,0.254440789,-0.248026316,-0.259786184,-0.254440789,-0.25408443,-0.5,0.5,,0.51,0.70,0.61,0.767146433,0.798060075,0.771214018,-0.257146433,-0.098060075,-0.161214018,-0.172140175,-3.2,3.2,0.45,0.67,0.29,0.763078849,0.802941176,0.761451815,-0.313078849,-0.132941176,-0.471451815,-0.305823947,-3.2,3.2,0.3,0.1,0.3,0.76795995,0.789111389,0.780162703,-0.46795995,-0.689111389,-0.480162703,-0.545744681,-3.2,3.2,0.2,0.2,0.2,0.796433041,0.841989987,0.818397997,-0.596433041,-0.641989987,-0.618397997,-0.618940342,-3.2,3.2
14,0.18,0.13,0.19,0.278618421,0.284375,0.280921053,-0.098618421,-0.154375,-0.090921053,-0.114638158,-0.5,0.5,0.19,0.11,0.11,0.277467105,0.286677632,0.282072368,-0.087467105,-0.176677632,-0.172072368,-0.145405702,-0.5,0.5,0,0.1,0,0.278618421,0.283223684,0.283223684,-0.278618421,-0.183223684,-0.283223684,-0.248355263,-0.5,0.5,0,0,0,0.267105263,0.279769737,0.274013158,-0.267105263,-0.279769737,-0.274013158,-0.273629386,-0.5,0.5,,0.57,0.74,0.67,0.826157697,0.859449312,0.830538173,-0.256157697,-0.119449312,-0.160538173,-0.17871506,-3.2,3.2,0.46,0.69,0.30,0.821777222,0.864705882,0.820025031,-0.361777222,-0.174705882,-0.520025031,-0.352169378,-3.2,3.2,0.3,0.1,0.3,0.827033792,0.849812265,0.840175219,-0.527033792,-0.749812265,-0.540175219,-0.605673759,-3.2,3.2,0.2,0.2,0.2,0.857697121,0.906758448,0.88135169,-0.657697121,-0.706758448,-0.68135169,-0.681935753,-3.2,3.2
